# clippershq-reports manifest — which project each report belongs to.
# Generated by tools/gen_manifest.py, do not hand-edit the auto rows.
# class: leadgen = clipper-finder Python CLI | payments = ClippersHQ Next.js app
#        cross = governs both | ambiguous = could not determine
id	class	confidence	basis	date	superseded_by	title
BL-1000	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1000: the front half runs — and the walk can now explain itself
BL-1001	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1001: the last round — one page the operator opens cold, every claim sha-stamped
BL-1002	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1002 — the matcher after three changes: 452 matched, 21 of 21 windows reachable, and the meme packet's zero-regression assertion no longer holds
BL-1002b	leadgen	1.00	auto (stack markers)			BL-1002b — one-frame OCR: the @handle card clears, the watermark term does not, and the field it reads has 0% recall
BL-1003	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1003: the labeller was not failing — 14 of 19 "parse failures" were empty vendor replies
BL-1004	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1004: dead canvas and unreadable footage are not gateable — the measurement, recorded
BL-1005	leadgen	1.00	auto (stack markers)			BL-1005 — the editor brief: what a human clipper actually gets per clip
BL-1006	leadgen	1.00	auto (stack markers)			BL-1006 — the client-side product: what a paying client actually receives
BL-1010	leadgen	1.00	auto (stack markers)			BL-1010 — the four client decisions, and which two the code will not stop you getting wrong
BL-1011	leadgen	1.00	auto (stack markers)			BL-1011 — The labels are now readable. Nothing in them earns a ranking term.
BL-1012	leadgen	1.00	auto (stack markers)			BL-1012 — the franchise allowlist, measured; the media and the assignment not reached
BL-1013	leadgen	1.00	auto (stack markers)			BL-1013 — the lifetime cap failed open 50x; it now refuses
BL-1014	leadgen	1.00	auto (stack markers)			BL-1014 — evaluating claude-video (/watch) as an audit tool
BL-1015	leadgen	1.00	auto (stack markers)			BL-1015 — the regex is fixed, +8 clips, and the output still does not move: 2 of the 4 marks are not in the field at all
BL-1016	leadgen	1.00	auto (stack markers)			BL-1016 — `motion` is stored now. It still cannot be validated, and the reason is the judges.
BL-1017	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1017 — 19 real people were already public, and no rule had been defeated because there was no rule
BL-1019	leadgen	1.00	auto (stack markers)			BL-1019 — a real backup, and the history decision
BL-1020	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1020 — interleaving takes the top 30 from **11 accounts (max 10) to 25 accounts (max 2)** at **97.3% of the ranker's signal**, and the 3 displaced clips carrying a hand verdict are all "no". **The gate did not cause the concentration — the ranker did.** Not landed: the file acquired a live writer mid-round.
BL-1021	leadgen	1.00	auto (stack markers)	2026-08-02		BL-1021 — The operator's first-day pack, and three claims that were false by the time I checked them
BL-1022	leadgen	1.00	auto (stack markers)			BL-1022 — the outcome loop, driven end to end before the data exists
BL-1023	leadgen	0.97	auto (stack markers)			BL-1023 — the first ten videos and the first twenty leads, chosen
BL-1024	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1024: the client copy now says only what the system can do today
BL-1025	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1025 — The editor brief finished: media, the assignment record, and ten briefs read
BL-1026	leadgen	1.00	auto (stack markers)			BL-1026 — the standing reds are gone; the red POPULATION churns, and a clone cannot run the suite
BL-1027	leadgen	1.00	auto (stack markers)			BL-1027 — The second text field exists. The vision field was wrong on 11 of 11.
BL-1028	leadgen	1.00	auto (stack markers)			BL-1028 — clip_pipeline.py taken off BL-899, and the queue drained
BL-1029	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1029: the labeller had no caller, and the cap it never had was 20% loose
BL-1030	leadgen	1.00	auto (stack markers)			BL-1030 — the retrieval leg is under a ceiling, and the ceiling was proven by spending
BL-1031	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1031: the destructive git commands now refuse to point at another round's work — and INFRA-031's 15 lines were never lost
BL-1032	leadgen	1.00	auto (stack markers)			BL-1032 — the 16× is not resolution, it is the machine: OCR cost is unmeasurable on this box, so the sweep is refused
BL-1033	leadgen	1.00	auto (stack markers)			BL-1033 — Eight rounds fixed the matcher. The field it reads was blank.
BL-1034	leadgen	1.00	auto (stack markers)			BL-1034 — stopped at the gate: the chain's every stage is under a live round
BL-1035	leadgen	1.00	auto (stack markers)			BL-1035 — the backup runs on a schedule, and the history decision is written for the operator
BL-1036	leadgen	1.00	auto (stack markers)			BL-1036 — the shared-index window, closed on the case nobody could see
BL-1037	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1037 — the suite completes in 484 seconds and went ALL GREEN under thirteen rounds; the clean extract is the redder one
BL-1038	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1038 — redact() now imports the scanner's rule, and three more gaps fell out of proving it
BL-1039	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1039: the wiring is blocked by two live claims — so here is everything that decides it
BL-1040	leadgen	1.00	auto (stack markers)			BL-1040 — the silent zero was already gone; the hand-written list was not
BL-1041	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1041: one of six stages was free to run — and the ownership map is the finding
BL-1042	leadgen	1.00	auto (stack markers)			BL-1042 — the cap reserves the next call everywhere, and the retrieval leg was never capped at all
BL-1043	leadgen	1.00	auto (stack markers)			BL-1043 — the clone bootstrap, and five defects it committed on its way to fixing one
BL-1044	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1044 — the final-state pair, re-derived; a fourth inherited claim was false and it was the headline number
BL-1045	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1045: the 135 root folders are 8% of the problem, and they belong to a different repo
BL-1046	leadgen	1.00	auto (stack markers)			BL-1046 — Dead canvas and letterboxed insets
BL-1047	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1047 — every dollar, split three ways: **$11.28 on the ledger, of which $8.25 is receipts**
BL-1048	leadgen	0.94	auto (stack markers)			BL-1048 — the operator pack re-derived, and "renders" turned out to be three numbers
BL-1050	leadgen	1.00	auto (stack markers)	2026-08-03		BL-1050: every funnel cap key ships, and the retrieval leg is reconciled — not re-recorded
